TableID,HasComputer
0001,False
0002,False
0003,False
0004,False
0005,False
0006,False
0007,False
0008,False
0009,True
0010,False
0011,False
0012,True
0013,True
0014,False
0015,False
0016,True
0017,False
0018,True
0019,False
0020,False
0021,False
0022,False
0023,True
0024,False
0025,False
0101,False
0102,False
0103,False
0104,True
0105,False
0106,False
0107,False
0108,False
0109,False
0110,False
0111,False
0112,False
0113,False
0114,False
0115,False
0116,False
0117,False
0118,False
0119,True
0120,False
0201,True
0202,True
0203,True
0204,False
0205,False
0206,False
0207,False
0208,False
0209,False
0210,True
0211,False
0212,False
0213,False
0214,False
0215,False
0216,True
0217,False
0218,True
0219,False
0220,True
0221,True
0222,False
0223,False
0224,False
0225,False
0226,False
0227,False
0228,True
0229,False
0230,False
0231,False
0232,False
0233,False
0234,True
0235,False
0236,False
0237,False
0238,False
0239,False
0240,False
0301,False
0302,False
0303,False
0304,False
0305,False
0306,True
0307,False
0308,False
0309,False
0310,False
0311,False
0312,False
0313,False
0314,False
0315,False
0316,False
0317,False
0318,False
0319,True
0320,False
0321,False
0322,True
0323,False
0324,False
0325,False
0326,False
0327,False
0328,True
0329,False
0330,False
