TableID	TableNum	FloorNumber	Image	HasPlug
0001	1	0	cubicle.jpg	1
0002	2	0	cubicle.jpg	1
0003	3	0	cubicle.jpg	1
0004	4	0	cubicle.jpg	1
0005	5	0	cubicle.jpg	1
0006	6	0	cubicle.jpg	1
0007	7	0	cubicle.jpg	1
0008	8	0	cubicle.jpg	1
0009	9	0	cubicle.jpg	1
0010	10	0	cubicle.jpg	1
0011	11	0	cubicle.jpg	1
0012	12	0	cubicle.jpg	1
0013	13	0	cubicle.jpg	1
0014	14	0	cubicle.jpg	1
0015	15	0	cubicle.jpg	1
0016	16	0	cubicle.jpg	1
0017	17	0	cubicle.jpg	1
0018	18	0	cubicle.jpg	1
0019	19	0	cubicle.jpg	1
0020	20	0	cubicle.jpg	1
0021	21	0	cubicle.jpg	1
0022	22	0	cubicle.jpg	1
0023	23	0	cubicle.jpg	1
0024	24	0	cubicle.jpg	1
0025	25	0	cubicle.jpg	1
0026	26	0	common-table.jpg	0
0027	27	0	common-table.jpg	0
0028	28	0	common-table.jpg	0
0029	29	0	common-table.jpg	0
0030	30	0	common-table.jpg	0
0101	1	1	cubicle.jpg	1
0102	2	1	cubicle.jpg	0
0103	3	1	cubicle.jpg	0
0104	4	1	cubicle.jpg	1
0105	5	1	common-table.jpg	1
0106	6	1	cubicle.jpg	1
0107	7	1	common-table.jpg	1
0108	8	1	cubicle.jpg	0
0109	9	1	cubicle.jpg	0
0110	10	1	cubicle.jpg	1
0111	11	1	common-table.jpg	0
0112	12	1	cubicle.jpg	0
0113	13	1	cubicle.jpg	0
0114	14	1	cubicle.jpg	1
0115	15	1	cubicle.jpg	0
0116	16	1	cubicle.jpg	1
0117	17	1	cubicle.jpg	0
0118	18	1	cubicle.jpg	1
0119	19	1	common-table.jpg	1
0120	20	1	cubicle.jpg	0
0121	21	1	square.jpg	0
0122	22	1	rectangle.jpg	0
0123	23	1	square.jpg	0
0124	24	1	square.jpg	0
0125	25	1	rectangle.jpg	0
0126	26	1	square.jpg	0
0127	27	1	rectangle.jpg	0
0128	28	1	square.jpg	0
0129	29	1	square.jpg	0
0130	30	1	rectangle.jpg	0
